id_disciplina,id_formacao
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
54,1
419,1
420,1
55,1
56,1
421,1
422,1
423,1
424,1
57,1
58,1
425,1
426,1
427,1
61,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,2
443,2
444,2
445,2
446,2
447,2
399,2
54,2
448,2
55,2
341,2
56,2
449,2
450,2
57,2
58,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,1
469,1
470,1
399,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,2
502,2
503,2
504,2
505,2
506,2
475,2
507,2
477,2
508,2
479,2
509,2
510,2
505,2
511,2
488,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
500,2
520,2
521,2
522,2
495,2
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
428,1
555,1
421,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
26,2
30,2
31,2
32,2
33,2
30,2
31,2
32,2
33,2
